ranks,profile,fold,src_x,src_y,dst_x,dst_y,direction,flit_cycles
64,wse_fast,off,0,5,0,4,V-,10848
64,wse_fast,off,0,5,0,6,V+,10656
64,wse_fast,off,0,5,1,5,H+,2976
64,wse_fast,off,0,6,0,5,V-,10656
64,wse_fast,off,0,6,0,7,V+,10848
64,wse_fast,off,0,6,1,6,H+,2856
64,wse_fast,off,0,7,0,6,V-,10848
64,wse_fast,off,0,7,1,7,H+,2976
64,wse_fast,off,1,0,0,0,H-,2856
64,wse_fast,off,1,0,1,1,V+,11064
64,wse_fast,off,1,0,2,0,H+,2904
64,wse_fast,off,1,1,0,1,H-,2976
64,wse_fast,off,1,1,1,0,V-,11064
64,wse_fast,off,1,1,1,2,V+,10848
64,wse_fast,off,1,1,2,1,H+,3048
64,wse_fast,off,1,2,0,2,H-,2856
64,wse_fast,off,1,2,1,1,V-,10848
64,wse_fast,off,1,2,1,3,V+,11064
64,wse_fast,off,1,2,2,2,H+,2904
64,wse_fast,off,1,3,0,3,H-,2976
64,wse_fast,off,1,3,1,2,V-,11064
64,wse_fast,off,1,3,1,4,V+,10848
64,wse_fast,off,1,3,2,3,H+,3048
64,wse_fast,off,1,4,0,4,H-,2856
64,wse_fast,off,1,4,1,3,V-,10848
64,wse_fast,off,1,4,1,5,V+,11064
64,wse_fast,off,1,4,2,4,H+,2904
64,wse_fast,off,1,5,0,5,H-,2976
64,wse_fast,off,1,5,1,4,V-,11064
64,wse_fast,off,1,5,1,6,V+,10848
64,wse_fast,off,1,5,2,5,H+,3048
64,wse_fast,off,1,6,0,6,H-,2856
64,wse_fast,off,1,6,1,5,V-,10848
64,wse_fast,off,1,6,1,7,V+,11064
64,wse_fast,off,1,6,2,6,H+,2904
64,wse_fast,off,1,7,0,7,H-,2976
64,wse_fast,off,1,7,1,6,V-,11064
64,wse_fast,off,1,7,2,7,H+,3048
64,wse_fast,off,2,0,1,0,H-,2904
64,wse_fast,off,2,0,2,1,V+,11448
64,wse_fast,off,2,0,3,0,H+,2928
64,wse_fast,off,2,1,1,1,H-,3048
64,wse_fast,off,2,1,2,0,V-,11448
64,wse_fast,off,2,1,2,2,V+,11328
64,wse_fast,off,2,1,3,1,H+,2928
64,wse_fast,off,2,2,1,2,H-,2904
64,wse_fast,off,2,2,2,1,V-,11328
64,wse_fast,off,2,2,2,3,V+,11448
64,wse_fast,off,2,2,3,2,H+,2928
64,wse_fast,off,2,3,1,3,H-,3048
64,wse_fast,off,2,3,2,2,V-,11448
64,wse_fast,off,2,3,2,4,V+,11328
64,wse_fast,off,2,3,3,3,H+,2928
64,wse_fast,off,2,4,1,4,H-,2904
64,wse_fast,off,2,4,2,3,V-,11328
64,wse_fast,off,2,4,2,5,V+,11448
64,wse_fast,off,2,4,3,4,H+,2928
64,wse_fast,off,2,5,1,5,H-,3048
64,wse_fast,off,2,5,2,4,V-,11448
64,wse_fast,off,2,5,2,6,V+,11328
64,wse_fast,off,2,5,3,5,H+,2928
64,wse_fast,off,2,6,1,6,H-,2904
64,wse_fast,off,2,6,2,5,V-,11328
64,wse_fast,off,2,6,2,7,V+,11448
64,wse_fast,off,2,6,3,6,H+,2928
64,wse_fast,off,2,7,1,7,H-,3048
64,wse_fast,off,2,7,2,6,V-,11448
64,wse_fast,off,2,7,3,7,H+,2928
64,wse_fast,off,3,0,2,0,H-,2928
64,wse_fast,off,3,0,3,1,V+,10896
64,wse_fast,off,3,0,4,0,H+,2880
64,wse_fast,off,3,1,2,1,H-,2928
64,wse_fast,off,3,1,3,0,V-,10896
64,wse_fast,off,3,1,3,2,V+,10464
64,wse_fast,off,3,1,4,1,H+,2880
64,wse_fast,off,3,2,2,2,H-,2928
64,wse_fast,off,3,2,3,1,V-,10464
64,wse_fast,off,3,2,3,3,V+,10896
64,wse_fast,off,3,2,4,2,H+,2880
64,wse_fast,off,3,3,2,3,H-,2928
64,wse_fast,off,3,3,3,2,V-,10896
64,wse_fast,off,3,3,3,4,V+,10464
64,wse_fast,off,3,3,4,3,H+,2880
64,wse_fast,off,3,4,2,4,H-,2928
64,wse_fast,off,3,4,3,3,V-,10464
64,wse_fast,off,3,4,3,5,V+,10896
64,wse_fast,off,3,4,4,4,H+,2880
64,wse_fast,off,3,5,2,5,H-,2928
64,wse_fast,off,3,5,3,4,V-,10896
64,wse_fast,off,3,5,3,6,V+,10464
64,wse_fast,off,3,5,4,5,H+,2880
64,wse_fast,off,3,6,2,6,H-,2928
64,wse_fast,off,3,6,3,5,V-,10464
64,wse_fast,off,3,6,3,7,V+,10896
64,wse_fast,off,3,6,4,6,H+,2880
64,wse_fast,off,3,7,2,7,H-,2928
64,wse_fast,off,3,7,3,6,V-,10896
64,wse_fast,off,3,7,4,7,H+,2880
64,wse_fast,off,4,0,3,0,H-,2880
64,wse_fast,off,4,0,4,1,V+,10848
64,wse_fast,off,4,0,5,0,H+,2856
64,wse_fast,off,4,1,3,1,H-,2880
64,wse_fast,off,4,1,4,0,V-,10848
64,wse_fast,off,4,1,4,2,V+,10656
64,wse_fast,off,4,1,5,1,H+,2976
64,wse_fast,off,4,2,3,2,H-,2880
64,wse_fast,off,4,2,4,1,V-,10656
64,wse_fast,off,4,2,4,3,V+,10848
64,wse_fast,off,4,2,5,2,H+,2856
64,wse_fast,off,4,3,3,3,H-,2880
64,wse_fast,off,4,3,4,2,V-,10848
64,wse_fast,off,4,3,4,4,V+,10656
64,wse_fast,off,4,3,5,3,H+,2976
64,wse_fast,off,4,4,3,4,H-,2880
64,wse_fast,off,4,4,4,3,V-,10656
64,wse_fast,off,4,4,4,5,V+,10848
64,wse_fast,off,4,4,5,4,H+,2856
64,wse_fast,off,4,5,3,5,H-,2880
64,wse_fast,off,4,5,4,4,V-,10848
64,wse_fast,off,4,5,4,6,V+,10656
64,wse_fast,off,4,5,5,5,H+,2976
64,wse_fast,off,4,6,3,6,H-,2880
64,wse_fast,off,4,6,4,5,V-,10656
64,wse_fast,off,4,6,4,7,V+,10848
64,wse_fast,off,4,6,5,6,H+,2856
64,wse_fast,off,4,7,3,7,H-,2880
64,wse_fast,off,4,7,4,6,V-,10848
64,wse_fast,off,4,7,5,7,H+,2976
64,wse_fast,off,5,0,4,0,H-,2856
64,wse_fast,off,5,0,5,1,V+,11064
64,wse_fast,off,5,0,6,0,H+,2904
64,wse_fast,off,5,1,4,1,H-,2976
64,wse_fast,off,5,1,5,0,V-,11064
64,wse_fast,off,5,1,5,2,V+,10848
64,wse_fast,off,5,1,6,1,H+,3048
64,wse_fast,off,5,2,4,2,H-,2856
64,wse_fast,off,5,2,5,1,V-,10848
64,wse_fast,off,5,2,5,3,V+,11064
64,wse_fast,off,5,2,6,2,H+,2904
64,wse_fast,off,5,3,4,3,H-,2976
64,wse_fast,off,5,3,5,2,V-,11064
64,wse_fast,off,5,3,5,4,V+,10848
64,wse_fast,off,5,3,6,3,H+,3048
64,wse_fast,off,5,4,4,4,H-,2856
64,wse_fast,off,5,4,5,3,V-,10848
64,wse_fast,off,5,4,5,5,V+,11064
64,wse_fast,off,5,4,6,4,H+,2904
64,wse_fast,off,5,5,4,5,H-,2976
64,wse_fast,off,5,5,5,4,V-,11064
64,wse_fast,off,5,5,5,6,V+,10848
64,wse_fast,off,5,5,6,5,H+,3048
64,wse_fast,off,5,6,4,6,H-,2856
64,wse_fast,off,5,6,5,5,V-,10848
64,wse_fast,off,5,6,5,7,V+,11064
64,wse_fast,off,5,6,6,6,H+,2904
64,wse_fast,off,5,7,4,7,H-,2976
64,wse_fast,off,5,7,5,6,V-,11064
64,wse_fast,off,5,7,6,7,H+,3048
